	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
net1_cond53	0.2829524	0.2396471	0.3245158	0.1351981	0.2500196	0.4175072	0.6009012	0.2038803	0.6288616	0.2974915	0.1147352	0.6130749	0.2494926	0.0778171	0.3930121	0.3430274	0.1842851	0.6986649	0.5057782	0.5369694	0.0396633	0.6418288	0.5935793	0.00215	0.7236393	0.6016102	0.4852788	0.7290881	0.3895541	0.3636864	0.0079603	0.0257078	0.3306437	0.4619331	0.4663494	0.5124088	0.6198673	0.192541	0.7499031	0.6485713	0.1387336	0.0057355	0.1069297	0.305664	0.3072114	0.1079644	0.1347882	0.7402093	0.1620954	0.036107	0.5699436	0.6238061	0.00109	0.0084511	0.5088252	0.0883236	0.180632	0.5338606	0.2178944	0.0509145	0.0597991	0.248076	0.3916159	0.600061	0.14074	0.090629	0.221005	0.1977188	0.3709742	0.0548708	0.5395807	0.1213113	0.3000642	0.4986037	0.5999802	0.2458762	0.3264045	0.0662649	0.5236052	0.5288644	0.6073148	0.484036	0.2598718	0.008114	0.0020786	0.4343284	0.0322205	0.1160987	0.2581287	0.3301059	0.4545109	0.7268693	0.1500684	0.0018637	0.4399604	0.1153779	0.2963792	0.1473405	0.0032566	0.6828076
net1_cond54	0.2281115	0.1517348	0.4177277	0.1771428	0.3755965	0.3483988	0.6845372	0.3656209	0.5834259	0.2617428	0.180262	0.3768333	0.0964725	0.0786494	0.5490097	0.5730608	0.1765956	0.5985776	0.2013987	0.2248083	0.1203623	0.6632079	0.2626805	0.0564419	0.5388367	0.3486836	0.41801	0.5668228	0.6837641	0.3541914	0.0361338	0.0024353	0.1998486	0.7461429	0.6159623	0.489109	0.5562312	0.2067191	0.6246391	0.6000815	0.1226298	0.2322521	0.0032557	0.1849365	0.2837775	0.060016	0.1742916	0.5614506	0.0149998	0.0060487	0.3496522	0.6378722	5.59e-05	0.0301799	0.3819199	0.0737961	0.4520297	0.0016614	0.5997201	0.0639918	0.1179003	0.6631098	0.4211621	0.6673805	0.1068613	0.105034	8.98e-05	0.0839492	0.0339984	0.0903251	0.5499747	0.2268635	0.0711929	0.6383997	0.435209	0.3430506	0.3921879	0.0904693	0.4762216	0.607943	0.4640338	0.5636613	0.2491343	0.017819	0.0055239	0.492223	0.0069107	0.0989352	0.50781	0.0908952	0.3540922	0.5615339	0.0159378	0.0300785	0.5440011	0.1119989	0.4328751	0.5446233	0.0523599	0.5411693
net1_cond55	0.0568759	0.2021694	0.4459139	0.13498	0.4579598	0.5559125	0.4207515	0.4555432	0.5835498	0.5668312	0.2181281	0.2153602	0.459986	0.0916266	0.4095106	0.4720199	0.0829849	0.6984366	0.3201381	0.1688382	0.3752793	0.7247826	0.1792715	0.0423328	0.6920274	0.5320388	0.5050895	0.4999226	0.527318	0.3163701	0.0287423	0.015263	0.2350628	0.6906665	0.554888	0.5652493	0.6198376	0.4980972	0.6906221	0.5582947	0.1944964	0.0156443	0.0512045	0.2951268	0.4652985	0.0783506	0.1130445	0.5686907	0.1055376	0.0314656	0.4496311	0.5865054	3e-07	0.0417551	0.5788724	0.1799465	0.4683428	0.0636569	0.5360904	0.0632503	0.1762738	0.4727363	0.4208938	0.5789531	0.0855115	0.0528179	0.0014619	0.1525664	0.1001492	0.1222634	0.6250853	0.2341552	0.4141649	0.0966681	0.6446585	0.4075104	0.3126574	0.2257708	0.5473796	0.39931	0.6358552	0.5836228	0.2945991	0.013943	0.0061066	0.4588625	0.0017158	0.1452785	0.0617518	0.4039493	0.2886798	0.6527652	0.0026181	0.0414896	0.3262406	0.2693784	0.296821	0.4615718	0.0265431	0.4997644
net1_cond56	0.3161812	0.502877	0.5527886	0.1538431	0.4373256	0.480171	0.5743489	0.3933477	0.4784434	0.3896062	0.2006794	0.322636	0.2736215	0.0611611	0.2940857	0.4262139	0.2279508	0.6555904	0.3250637	0.3338615	0.2405018	0.3793517	0.1115983	0.0058784	0.6683861	0.3852954	0.5521085	0.4335714	0.4189277	0.2836946	0.0112615	0.0096128	0.072251	0.5258793	0.5969425	0.616125	0.6200496	0.1748186	0.7049667	0.4820076	0.2496574	0.0541191	0.0158961	0.4406989	0.1853921	0.0300111	0.2629574	0.5934699	0.2052538	0.006826	0.3156408	0.4965666	8.38e-05	0.0430945	0.8060341	0.1496877	0.3452958	0.1137152	0.6264723	0.001969	0.0604716	0.5416642	0.325885	0.6629536	0.2934065	0.0518214	0.1767317	0.1412015	0.1761284	0.0122682	0.4778254	0.1930561	0.122753	0.3600638	0.6568282	0.001136	0.1641331	0.1982791	0.4999132	0.2665344	0.6301532	0.5825591	0.245593	0.0035551	0.0004864	0.6699557	0.2249084	0.1546861	0.4937402	0.2299285	0.3092059	0.6718153	0.1218463	0.0145669	0.6226138	0.3068052	0.3465849	0.3810916	0.000649	0.4691093
net1_cond57	0.2958532	0.1796684	0.4319581	0.1506735	0.4661009	0.232797	0.6219388	0.6927379	0.5679071	0.5996011	0.0017516	0.2139212	0.0891928	0.0691247	0.5035788	0.4918334	0.1193275	0.5990495	0.5391978	0.3921445	0.1649488	0.7023573	0.1797296	0.03038	0.5458943	0.6609165	0.5283119	0.6896291	0.4804415	0.3566792	0.0058145	0.0346727	0.1567808	0.5921162	0.7642662	0.4989849	0.6376079	0.2029994	0.6673914	0.5357593	0.1484625	0.0080524	0.0048577	0.4963179	0.4916765	0.1576922	0.3107519	0.5053804	0.1354078	0.0004776	0.4128721	0.6736469	0.0159707	0.0272506	0.4457946	0.1369071	0.4236407	0.0025684	0.6072048	0.0144588	0.0410064	0.5250336	0.397017	0.5812367	0.0433964	0.1122209	0.1592691	0.137714	0.0220237	0.043428	0.5932149	0.2887139	0.226913	0.3302124	0.6557356	0.0026236	0.2200538	0.1640289	0.5636521	0.6604375	0.4574511	0.660297	0.2148194	0.0399231	0.0102063	0.6634345	0.6096736	0.2000113	0.0916616	0.0436838	0.550296	0.4770794	0.1016058	0.0141158	0.4289904	0.1205642	0.4149628	0.5125264	0.0018947	0.6261275
net1_cond58	0.3417461	0.2926862	0.4145797	0.160701	0.379371	0.221654	0.6346035	0.5378266	0.708361	0.201968	0.0113058	0.3125518	0.2009486	0.1301086	0.44616	0.6484501	0.3393029	0.6355101	0.5315091	0.3395107	0.2614159	0.7013188	0.1580409	0.0224477	0.5328897	0.5208083	0.3873912	0.7292285	0.6273183	0.1836503	0.0036373	0.0160321	0.1410879	0.5463592	0.5609298	0.4849684	0.2573606	0.4565556	0.631478	0.6348517	0.3550493	0.0001186	0.2105261	0.0367296	0.3371697	0.053401	0.0158199	0.5829335	0.0942676	0.0023626	0.4266086	0.5500927	0.0006334	0.0481509	0.2685993	0.1770376	0.4470156	0.0063804	0.6634683	0.0937377	0.1516427	0.5940669	0.412291	0.5593775	0.2604784	0.0767145	0.002231	0.1888975	0.1987286	0.0171359	0.4879232	0.1977815	0.4006345	0.3007427	0.8193033	0.3726394	0.2713915	0.1589401	0.6483118	0.4434946	0.5797989	0.5283931	0.1965751	0.0193247	0.0032071	0.3805525	0.2616169	0.0754672	0.0857334	0.4753893	0.2589612	0.4871345	0.0131797	0.0085105	0.343017	0.1181517	0.3488589	0.4432928	0.0458842	0.5155438
net1_cond59	0.3656014	0.3780346	0.5941606	0.1617948	0.3536956	0.3087876	0.7122007	0.5735169	0.4980553	0.4662463	0.1270286	0.217818	0.3967721	0.0940797	0.4166529	0.434833	0.2371748	0.5697259	0.5650232	0.1200554	0.0297134	0.5761556	0.1128841	0.0263509	0.5687112	0.5749721	0.3515907	0.6155835	0.5084495	0.404416	0.0426621	0.06083	0.2049677	0.3392234	0.6436391	0.6538408	0.623083	0.6259809	0.5517155	0.661168	0.2427011	0.0002581	0.0078156	0.1797488	0.1585399	0.0491219	0.1911134	0.5881401	0.0258139	0.0306137	0.4492144	0.5706215	0.0125421	0.0622522	0.6320144	0.2129837	0.3890946	0.0412011	0.6189708	0.0051528	0.0226992	0.2931439	0.2685988	0.5920943	0.1520182	0.0878409	0.2585484	0.1574439	0.0366078	0.1178995	0.5555019	0.1521144	0.3289634	0.2030207	0.7141941	0.4177403	0.5447808	0.1590137	0.6639892	0.5649796	0.6020109	0.4855868	0.2276001	0.028985	0.0050457	0.677225	0.0059311	0.0897771	0.0321681	0.2665309	0.4234031	0.4778473	0.1676457	0.0439709	0.4744894	0.3054302	0.4138381	0.4134024	0.0593689	0.5387967
net1_cond60	0.3513038	0.2492834	0.4540704	0.1294383	0.401748	0.3795695	0.5144796	0.082236	0.5593624	0.1943143	0.1777408	0.6240813	0.2388583	0.0855135	0.2271055	0.5515658	0.3896916	0.5771475	0.4299102	0.2760634	0.0910241	0.4636425	0.1759213	0.0467114	0.6316625	0.6234703	0.2561467	0.6561334	0.4806376	0.2463806	0.0268868	0.0107424	0.1269262	0.7548148	0.6447698	0.4114699	0.3512489	0.3182616	0.669238	0.5075492	0.0917216	0.012912	0.2550829	0.5354637	0.257637	0.0837896	0.2000936	0.6586177	0.1975965	0.0255977	0.2432891	0.5451864	0.0236242	0.0095491	0.4796359	0.0276933	0.5058771	0.4197745	0.624247	0.0502001	0.0516256	0.5483617	0.4587166	0.7203514	0.1111007	0.1081608	0.2054965	0.1406177	0.1747963	0.0170599	0.5128445	0.2526408	0.0254704	0.4261102	0.6255051	0.2116583	0.1331385	0.0490192	0.6032935	0.4997872	0.3028789	0.5118149	0.0680726	0.0133146	0.0037432	0.6209228	0.1374291	0.2654315	0.3760264	0.5095598	0.2788452	0.6036015	0.391936	0.0188095	0.3541086	0.2188928	0.3669199	0.2990924	0.0011759	0.7263492
net1_cond61	0.3821501	0.2663939	0.516899	0.0540459	0.5022974	0.4667615	0.5197865	0.522227	0.6356317	0.2281281	0.2652766	0.2024176	0.4474758	0.0763059	0.5105895	0.5735204	0.1049287	0.6683915	0.4647286	0.2630152	0.0053536	0.6921642	0.1736564	0.050186	0.6269492	0.6769111	0.2910823	0.5532868	0.4233264	0.2725247	0.0235885	0.023338	0.1564748	0.5531141	0.5274841	0.5762593	0.5944077	0.5943886	0.6206505	0.6096626	0.1866205	0.0146447	0.0002068	0.0482995	0.1930476	0.0630466	0.1142823	0.7277959	0.0672349	0.0032086	0.4373419	0.5947483	0.0213652	0.0269673	0.5124119	0.1260367	0.3644101	0.3326222	0.6924305	0.0656229	0.1287139	0.6585336	0.231466	0.6491204	0.1947743	0.1412501	0.0957891	0.1657083	0.159056	0.0366334	0.4907907	0.3267139	0.2903274	0.6239487	0.5852658	0.2009811	0.4577402	0.087975	0.4765784	0.4506018	0.6584021	0.7620359	0.3499812	0.0130278	0.0057998	0.5503459	0.1130466	0.199745	0.142642	0.3720775	0.5341497	0.6202705	0.0125781	5.64e-05	0.4283537	0.1696379	0.3962957	0.4326907	0.0460666	0.5353918
net1_cond62	0.1537481	0.2281435	0.4013981	0.0776674	0.1182534	0.4484297	0.585387	0.1257735	0.6256239	0.1903717	0.1910707	0.7432364	0.4663644	0.0563131	0.4150145	0.4346178	0.2295985	0.5797136	0.4261279	0.5042519	0.0017287	0.7553564	0.3362707	0.0067922	0.6863257	0.3372473	0.4925371	0.6242319	0.5165417	0.3283687	0.0047938	0.0486454	0.1948276	0.6930018	0.5913465	0.4931607	0.5283638	0.4056868	0.6575652	0.6202985	0.1809525	0.2421695	0.0020634	0.2433199	0.2812061	0.081613	0.0289104	0.5479415	0.1884146	0.0189788	0.5691997	0.6935274	3.05e-05	0.0175367	0.6048271	0.0366706	0.3213179	0.4039922	0.3739905	0.0125207	0.0764898	0.6169107	0.2543727	0.6605317	0.175691	0.0500191	0.1250777	0.0876339	0.2459544	0.1356711	0.5767175	0.2417898	0.0398273	0.0604831	0.7465208	0.0720851	0.3972492	0.3830085	0.5827375	0.6216731	0.4919097	0.5994968	0.1683626	0.0242241	0.0	0.6746203	0.0035351	0.1653669	0.2262891	0.2397926	0.1696076	0.4775156	0.0003686	0.0266228	0.4788564	0.3753954	0.6109493	0.5670792	0.0034707	0.5009923
net1_cond63	0.3686423	0.2123907	0.2362801	0.0461001	0.4290003	0.503651	0.6612642	0.5359732	0.5764227	0.6022896	0.154913	0.2785108	0.4733157	0.0808703	0.4884396	0.6447831	0.1095884	0.6051767	0.5165543	0.4371922	0.0937039	0.5819006	0.1269017	0.0294374	0.5134896	0.5127273	0.5541581	0.6271278	0.6036855	0.4313867	0.0198081	0.080092	0.2785288	0.6197626	0.6232655	0.554501	0.7271353	0.223496	0.470706	0.6615813	0.3675669	0.0093665	0.1675214	0.0239963	0.0624028	0.0658469	0.0330938	0.677478	0.1854551	0.0001861	0.5276166	0.6511767	0.000764	0.0346679	0.5758943	0.1549817	0.51644	0.0151531	0.6019116	0.0138739	0.128851	0.6022869	0.3950351	0.4907997	0.0879724	0.033471	0.2202692	0.1365853	0.0562144	0.0082643	0.5323449	0.2364907	0.236311	0.2053562	0.5817347	0.3778874	0.4398981	0.3056109	0.3139934	0.4791846	0.6468948	0.530441	0.3089524	0.1651624	0.0550132	0.6394393	0.0055798	0.1287906	0.2279298	0.307153	0.3484191	0.2893001	0.0027952	0.1181619	0.3805106	0.3862757	0.6722205	0.3495953	0.0106442	0.4238229
net1_cond64	0.3889749	0.3353227	0.3981081	0.1054927	0.4188822	0.2743685	0.6376756	0.6620781	0.6706667	0.6010243	0.0350559	0.1867202	0.129425	0.0864597	0.2706639	0.6134224	0.7318253	0.8311338	0.5952018	0.0955874	0.0918655	0.522944	0.1703826	0.0462152	0.7892832	0.6417935	0.6723542	0.6104856	0.469636	0.1983388	0.0232224	0.0582909	0.3318055	0.6910139	0.5816055	0.6209407	0.5409091	0.4554563	0.6944287	0.6271916	0.2478321	0.0058512	0.2565361	0.4772765	0.5119779	0.0333585	0.1500428	0.4930777	0.0023761	0.022933	0.3441743	0.6522521	0.0146347	0.0458289	0.5722531	0.1177102	0.3758904	0.4641974	0.5219787	0.031056	0.022613	0.5086202	0.3176038	0.6593507	0.1030988	0.0279053	0.2288654	0.0845744	0.1390742	0.1386562	0.5752835	0.2305381	0.087788	0.3811412	0.602132	0.2847868	0.4862425	0.2944599	0.7217039	0.708304	0.577311	0.4687307	0.3026077	0.0023407	0.0097346	0.6754433	8.54e-05	0.0300094	0.4709099	0.2169396	0.4391006	0.7068128	0.1450853	0.0132937	0.6082653	0.1561695	0.2776552	0.2507346	0.0369214	0.4300661
net1_cond65	0.4003785	0.2470181	0.4955988	0.1043831	0.4943745	0.1538015	0.5785331	0.1811267	0.5545373	0.2972537	0.2880126	0.4174742	0.4682148	0.0696765	0.4148744	0.6046047	0.1430876	0.5805441	0.145919	0.5273266	0.0194119	0.7616412	0.1252544	0.0354354	0.6114337	0.6126228	0.5584401	0.6353118	0.6086746	0.330774	0.0001775	0.0525604	0.3416835	0.6130628	0.620258	0.4715354	0.7891304	0.5198989	0.6880662	0.5533062	0.2787203	0.2098784	0.0020186	0.2840978	0.4427058	0.1157956	0.0108459	0.5478237	0.0164654	0.0092303	0.3067998	0.6780125	0.0001128	0.051956	0.2272835	0.0547583	0.3894874	0.1208682	0.5723253	0.004064	0.0806466	0.6347868	0.5715483	0.5432499	0.0637051	0.0982783	0.0044186	0.2087407	0.1367703	0.316044	0.579128	0.0916479	0.1664777	0.5326002	0.5740851	0.0286743	0.4440949	0.0854006	0.3566213	0.5619625	0.3356867	0.5925653	0.2514633	0.0020245	0.003691	0.6122643	0.000305	0.0602076	0.2243754	0.3198	0.4220235	0.6107912	0.092147	0.0223668	0.4728017	0.0811371	0.55316	0.3780761	0.0071495	0.5895311
net1_cond66	0.0949519	0.3916533	0.5093628	0.084527	0.4538031	0.3593911	0.6948954	0.5999409	0.6174032	0.514337	0.0527761	0.1381808	0.3123622	0.07661	0.2451286	0.6553227	0.1154491	0.7102635	0.5345677	0.4372957	0.0145055	0.4873452	0.2640162	0.0028318	0.607546	0.6576784	0.5268957	0.6721583	0.6754035	0.196295	0.0021511	0.0353064	0.1313107	0.752174	0.7192173	0.4014538	0.6040826	0.1529793	0.6642991	0.7166511	0.1241196	0.003312	0.0055029	0.4625447	0.1956551	0.0873231	0.2625597	0.6944564	0.0107872	0.0014783	0.4859454	0.6917653	2.32e-05	0.0421212	0.4190854	0.017085	0.4902357	0.0007546	0.7229087	0.008944	0.1777442	0.5359063	0.3081689	0.6158613	0.1097916	0.0721044	0.0531432	0.2222907	0.1714437	0.2621373	0.5177823	0.245806	0.2081655	0.2728436	0.4799077	5.45e-05	0.4314163	0.356933	0.7087535	0.4969404	0.6422804	0.7046732	0.2213872	0.1797943	0.0112983	0.6314079	0.0006794	0.1789052	0.4089951	0.3538184	0.366611	0.2162919	0.0998083	0.1162024	0.5868477	0.1583266	0.666632	0.1593244	0.0392962	0.7870763
net1_cond67	0.4233949	0.1518069	0.4964523	0.144381	0.4959398	0.668738	0.6508882	0.5681528	0.6317376	0.5232313	0.0427224	0.075355	0.2223543	0.0402124	0.539573	0.0009281	0.2558947	0.6144335	0.2408753	0.50658	0.1546744	0.5940459	0.1281875	0.0069314	0.6314226	0.5228215	0.4732409	0.4139836	0.7113895	0.2406664	0.003901	0.0547742	0.2620367	0.5283637	0.6945258	0.6390967	0.3473079	0.3779923	0.7262161	0.7139279	0.2900355	0.40903	0.0124206	0.3801604	0.3477287	0.1027362	0.0148368	0.6893667	0.010598	0.0001645	0.5298825	0.6137571	0.0028577	0.0217564	0.475047	0.018517	0.5691721	0.001064	0.6690489	0.0445334	0.1632775	0.7387126	0.3314337	0.6123108	0.0894984	0.0240388	0.0199843	0.1446149	0.0804054	0.0572939	0.6079114	0.1746018	0.3701366	0.706927	0.4274063	0.0344757	0.6293019	0.0860342	0.7046314	0.5216413	0.4509474	0.5086656	0.2371861	0.0076767	0.0037096	0.6094723	3.01e-05	0.3957288	0.2418922	0.1028888	0.3819707	0.5603878	0.0049636	0.0001298	0.5887367	0.1080288	0.2875337	0.3833705	0.0445972	0.4320224
net1_cond68	0.3074033	0.1540743	0.3603877	0.0652229	0.2584391	0.4161361	0.6395523	0.5176441	0.5961248	0.1844912	0.0042118	0.3871063	0.2144539	0.0562915	0.4015838	0.3576515	0.3732304	0.5829075	0.3135894	0.1756273	0.0056147	0.6982031	0.1870762	0.0251242	0.4929052	0.6762158	0.3246307	0.5831155	0.6143517	0.4762136	0.0110562	0.0581086	0.2311877	0.4434972	0.649818	0.4967763	0.5849624	0.4979634	0.6020842	0.6277496	0.3122065	0.0840868	0.0008946	0.5213161	0.1690333	0.0900001	0.1523352	0.5389968	0.0057925	0.0016009	0.4789844	0.7341305	1.53e-05	0.0179762	0.6692981	0.254413	0.3455604	0.0088197	0.5496373	0.0586784	0.0307166	0.2410333	0.0991613	0.5930571	0.1683683	0.0166201	0.0650131	0.1307433	0.1620314	0.0234287	0.5994639	0.1562151	0.3522179	0.0513047	0.7043157	0.1995023	0.2496434	0.3976943	0.5362533	0.5928345	0.2708915	0.3806387	0.1629399	0.0301004	0.0007044	0.5251561	0.000588	0.1173819	0.2714351	0.4854469	0.5681479	0.4617687	0.0001629	0.0746863	0.4243602	0.2158002	0.5364095	0.39256	0.0022432	0.5991162
net1_cond69	0.554642	0.2862326	0.215296	0.1297878	0.3629824	0.1942967	0.2567829	0.2867173	0.5487044	0.4072833	0.0099416	0.3468676	0.062612	0.0529026	0.3641873	0.4873265	0.1233974	0.5652452	0.6095677	0.4219003	0.1453598	0.6272132	0.1371253	0.0201209	0.6377742	0.6674458	0.3640378	0.4586348	0.4933717	0.3434481	0.0107776	0.0078784	0.4319041	0.4532683	0.637421	0.5724597	0.5581052	0.4234156	0.5465534	0.7120701	0.297419	0.0951011	0.098718	0.1878299	0.4665414	0.0840448	0.2071281	0.6439564	0.0102215	0.0006554	0.4131099	0.6995519	0.0015482	0.0425855	0.6123891	0.0946346	0.4297043	0.0002757	0.6883987	0.086618	0.0646745	0.5946347	0.374952	0.6482322	0.0376799	0.1008494	0.2468384	0.1600524	0.0564199	0.5495701	0.5196365	0.4481089	0.0012414	0.1093238	0.5888268	0.0073565	0.5281384	0.0522156	0.2803256	0.5722764	0.35936	0.6221561	0.319804	0.0046643	0.0034478	0.6422169	0.0090855	0.1275359	0.0318702	0.399455	0.0929957	0.7583414	0.3623052	0.0073993	0.4116028	0.3302597	0.3365367	0.1809389	0.0410699	0.4260183
net1_cond70	0.2054469	0.5544829	0.4087956	0.0955207	0.406082	0.451175	0.6583302	0.560556	0.6091147	0.5757957	0.0676263	0.3118703	0.3408557	0.062518	0.4343675	0.6150618	0.5600676	0.6987449	0.4980876	0.4309284	0.0322295	0.3615805	0.2245963	0.0183844	0.5901199	0.6940563	0.4411949	0.6898043	0.6187568	0.1799239	0.0222724	0.0251537	0.2440213	0.4648097	0.5299999	0.3826512	0.5676326	0.4757234	0.4277863	0.6254068	0.2880116	0.1095746	0.0001424	0.2060085	0.2284936	0.0787739	0.0886139	0.6308943	0.2279004	0.0014256	0.2193625	0.6376681	0.0135933	0.0344939	0.585996	0.051945	0.4153703	0.3150267	0.4602305	0.0570766	0.2239205	0.4845838	0.4510189	0.5674716	0.0345565	0.1032141	0.0004454	0.1400283	0.1502277	0.0075728	0.5478825	0.2514742	0.0739454	0.0410141	0.7458647	0.1075849	0.5040396	0.0475341	0.4616762	0.6087038	0.3904803	0.7177148	0.2482584	0.0058542	0.0006318	0.4394737	0.0019182	0.1486043	0.092371	0.2066723	0.5364605	0.6790142	0.0691607	0.0158905	0.5296212	0.2948143	0.297352	0.0506543	0.0007955	0.4667062
net1_cond71	0.4395755	0.1919759	0.364834	0.0537332	0.4433731	0.4089658	0.3313931	0.5536536	0.6008924	0.215407	0.0669131	0.3131795	0.4972675	0.0774431	0.419058	0.5973698	0.1870151	0.6665116	0.3576155	0.2400975	0.0187605	0.6545655	0.2394383	0.0168266	0.5978464	0.5070816	0.4034495	0.4521154	0.3856324	0.1349953	0.0145337	0.0818132	0.1214592	0.3516181	0.4323851	0.7107565	0.3402405	0.4287725	0.4048741	0.6476274	0.1308295	0.2027757	0.0032288	0.2165774	0.1663515	0.0969121	0.1248002	0.5465187	0.2113513	0.0096992	0.2958391	0.4713093	4.09e-05	0.0344781	0.4233726	0.1193707	0.4743184	0.1628277	0.6668437	0.0469977	0.2062732	0.6266729	0.130964	0.523503	0.0994377	0.1146889	2.55e-05	0.1296873	0.115161	0.5918302	0.5399889	0.3932856	0.0359599	0.3853693	0.6121671	0.0005476	0.1440506	0.1041776	0.6170816	0.5214013	0.5995728	0.3855602	0.1182974	0.0120294	0.0008975	0.3113475	0.0549904	0.049892	0.2317932	0.5157313	0.2833432	0.5596478	0.0102645	0.0096123	0.4216011	0.3577415	0.4556127	0.4189289	0.002357	0.4717026
net1_cond72	0.1515418	0.0978829	0.3324002	0.1648543	0.3562159	0.3619015	0.5852791	0.5516667	0.4917586	0.4486402	0.0566113	0.1129352	0.1004414	0.0518503	0.4576882	0.486996	0.3019412	0.6592622	0.4550929	0.2133352	0.0830883	0.7334602	0.2669131	0.0240453	0.5469818	0.69443	0.4970095	0.4351588	0.5762141	0.2518079	0.0079159	0.0959535	0.1109873	0.5533275	0.5639563	0.6279974	0.3570143	0.5282488	0.7080879	0.5538052	0.1048943	0.0133195	0.0091704	0.27338	0.1606474	0.1262977	0.2660503	0.5333211	0.2109078	0.0011503	0.5398266	0.5262019	0.009147	0.0232543	0.2677563	0.1059066	0.3736403	0.000767	0.5332387	0.1006698	0.0457232	0.4991269	0.5460973	0.566907	0.2778796	0.0577051	0.2518018	0.1491908	0.0644373	0.0150266	0.5326755	0.2849389	0.0265717	0.2326643	0.3285956	0.215007	0.273371	0.5573298	0.6981934	0.6019854	0.4645456	0.6194989	0.2239648	0.0284598	0.0367826	0.7660412	0.1933134	0.1664644	0.3285586	0.3135595	0.5685352	0.3253232	0.0015652	0.0537395	0.3676678	0.3712068	0.6928742	0.4157382	0.0015734	0.5117625
net1_cond73	0.4094253	0.1264875	0.4917644	0.1207693	0.474836	0.4952923	0.7227041	0.3696264	0.6552856	0.4687409	0.0607987	0.4682246	0.1672425	0.046855	0.396503	0.7306981	0.1098241	0.6010359	0.448171	0.5906847	0.0433909	0.5751209	0.2078574	0.0424751	0.5574138	0.6277413	0.3462763	0.6449804	0.6248694	0.4287646	0.0118134	0.0601417	0.3878782	0.5092548	0.5609226	0.5368556	0.7139331	0.2538413	0.5885835	0.6914301	0.3664561	0.0106114	0.308654	0.0723594	0.2039013	0.1434129	0.0125814	0.5874473	0.1667992	0.0147054	0.1294456	0.5906408	0.0003003	0.0287409	0.5639539	0.1280261	0.4880234	0.3188222	0.7141414	0.0426446	0.0305154	0.6282537	0.1678106	0.7512083	0.0527641	0.1265079	0.1348326	0.1900527	0.0949879	0.1355804	0.5159236	0.2332138	0.122723	0.506038	0.7094856	0.0001791	0.3951274	0.4405681	0.5891579	0.5001091	0.2289387	0.3452441	0.2524654	0.0330666	0.0062351	0.6448232	0.0174232	0.1480106	0.0672296	0.4678952	0.5435356	0.4919986	0.0003682	0.0350559	0.5765071	0.4051821	0.5120767	0.2039012	0.0371658	0.431439
net1_cond74	0.1500825	0.2367007	0.3248542	0.0751113	0.2816958	0.5085699	0.5706165	0.6768341	0.4824746	0.2299855	0.0901378	0.1031155	0.0975839	0.0635081	0.3010647	0.6155499	0.2602039	0.7481873	0.0996615	0.2491574	0.0120153	0.6274388	0.3448946	0.0005319	0.6060042	0.5681479	0.4630498	0.6150416	0.6669015	0.3044193	0.0277675	0.0011168	0.1335109	0.4522622	0.6601938	0.5204036	0.2923676	0.2581395	0.6780695	0.512688	0.2816666	0.0185246	0.0006507	0.1736478	0.2517809	0.0995021	0.0401375	0.5740588	0.038595	0.0188627	0.3848368	0.7117355	0.0002069	0.0402184	0.6318129	0.2302943	0.335788	0.0135778	0.4277233	0.0118497	0.0972529	0.4493566	0.3893991	0.6524575	0.1516746	0.0271769	0.1810279	0.1479564	0.1625957	0.0438471	0.538684	0.1727987	0.1398843	0.4335279	0.6405409	0.1851702	0.3980523	0.4323081	0.4486152	0.6447176	0.2725321	0.5904924	0.2503081	0.0151004	0.0004553	0.5951398	0.45452	0.0790844	0.1504147	0.1908461	0.2527529	0.7686468	0.0060867	0.0167718	0.638827	0.1722296	0.3322555	0.3715928	0.0378624	0.4429346
